Question,Method,Answer,Confidence,Time (s),Correct (Y/N),GroundTruth
What were the donated services in 2022/23?,RAG,"£1,000",0.98,4.97,Y,"Donated services in 2022/23 were £1,000."
How much was the investment income in 2022/23?,RAG,£499,0.98,4.73,Y,The investment income in 2022/23 was £499.
What was the total income and endowments in 2022/23?,RAG,"£1,499",0.98,4.327,Y,"The total income and endowments in 2022/23 were £1,499."
What were the management fees in 2022/23?,RAG,£143,0.98,4.277,Y,Management fees in 2022/23 were £143.
How much did charitable activities cost in 2022/23?,RAG,"$1,000 per year was a net gain for all non-profit organizations (including those that are not affiliated with any organization). The average annual contribution is about 3% less than what it would have been if there were no such groups operating under different circumstances or conditions as well.[2] In addition some charities may",0.5,4.566,N,Charitable activities cost £80 in 2022/23.
What were the audit fees in 2022/23?,RAG,"£1,000",0.98,4.549,Y,"Audit fees in 2022/23 were £1,000."
What was the total expenditure in 2022/23?,RAG,"£1,223",0.98,4.468,Y,"Total expenditure in 2022/23 was £1,223."
What was the net income in 2022/23?,RAG,£276,0.98,4.362,Y,Net income in 2022/23 was £276.
What was the net loss on investments in 2022/23?,RAG,£851,0.98,4.727,Y,The net loss on investments in 2022/23 was £851.
What was the net movement in funds in 2022/23?,RAG,"£20,311",0.98,4.444,N,The net movement in funds in 2022/23 was -£575.
What were the donated services in 2023/24?,RAG,"£1,000",0.98,4.449,Y,"Donated services in 2023/24 were £1,000."
How much was the investment income in 2023/24?,RAG,£596,0.98,4.547,Y,The investment income in 2023/24 was £596.
What was the total income and endowments in 2023/24?,RAG,"£1,596",0.98,4.47,Y,"The total income and endowments in 2023/24 were £1,596."
What were the management fees in 2023/24?,RAG,£146,0.98,4.797,Y,Management fees in 2023/24 were £146.
How much did charitable activities cost in 2023/24?,RAG,"$1,000 per year was a net loss that would have been less than half as large if it had not occurred before or after January 25th 2017 (the date when this happened). The amount is calculated by multiplying all other expenses with respect thereto so that there are no more deductions required under section 3(a)",0.5,4.394,Y,"Charitable activities cost £1,465 in 2023/24."
What were the audit fees in 2023/24?,RAG,"£1,000",0.98,4.249,Y,"Audit fees in 2023/24 were £1,000."
What was the total expenditure in 2023/24?,RAG,"£2,611",0.98,6.119,Y,"Total expenditure in 2023/24 was £2,611."
What was the net income (expenditure) in 2023/24?,RAG,"£1,015",0.98,6.297,Y,"The net income (expenditure) in 2023/24 was -£1,015."
What were the net gains on investments in 2023/24?,RAG,£950,0.98,5.436,Y,The net gains on investments in 2023/24 were £950.
What was the net movement in funds in 2023/24?,RAG,"£20,246",0.98,4.466,N,The net movement in funds in 2023/24 was -£65.
What were the donated services in 2022/23?,Fine-Tune (RAFT),"£1,000",0.98,2.174,Y,"Donated services in 2022/23 were £1,000."
How much was the investment income in 2022/23?,Fine-Tune (RAFT),£499,0.98,1.961,Y,The investment income in 2022/23 was £499.
What was the total income and endowments in 2022/23?,Fine-Tune (RAFT),"£1,499",0.98,1.626,Y,"The total income and endowments in 2022/23 were £1,499."
What were the management fees in 2022/23?,Fine-Tune (RAFT),£143,0.98,1.572,Y,Management fees in 2022/23 were £143.
How much did charitable activities cost in 2022/23?,Fine-Tune (RAFT),£80,0.98,1.82,Y,Charitable activities cost £80 in 2022/23.
What were the audit fees in 2022/23?,Fine-Tune (RAFT),"£1,000",0.98,1.88,Y,"Audit fees in 2022/23 were £1,000."
What was the total expenditure in 2022/23?,Fine-Tune (RAFT),"£1,223",0.98,2.486,Y,"Total expenditure in 2022/23 was £1,223."
What was the net income in 2022/23?,Fine-Tune (RAFT),£276,0.98,1.602,Y,Net income in 2022/23 was £276.
What was the net loss on investments in 2022/23?,Fine-Tune (RAFT),£851,0.98,1.695,Y,The net loss on investments in 2022/23 was £851.
What was the net movement in funds in 2022/23?,Fine-Tune (RAFT),"£20,311",0.98,1.714,N,The net movement in funds in 2022/23 was -£575.
What were the donated services in 2023/24?,Fine-Tune (RAFT),"£1,000",0.98,2.254,Y,"Donated services in 2023/24 were £1,000."
How much was the investment income in 2023/24?,Fine-Tune (RAFT),£596,0.98,2.253,Y,The investment income in 2023/24 was £596.
What was the total income and endowments in 2023/24?,Fine-Tune (RAFT),"£1,596",0.98,2.054,Y,"The total income and endowments in 2023/24 were £1,596."
What were the management fees in 2023/24?,Fine-Tune (RAFT),£146,0.98,2.086,Y,Management fees in 2023/24 were £146.
How much did charitable activities cost in 2023/24?,Fine-Tune (RAFT),"£1,465",0.98,2.408,Y,"Charitable activities cost £1,465 in 2023/24."
What were the audit fees in 2023/24?,Fine-Tune (RAFT),"£1,000",0.98,2.471,Y,"Audit fees in 2023/24 were £1,000."
What was the total expenditure in 2023/24?,Fine-Tune (RAFT),"£2,611",0.98,2.692,Y,"Total expenditure in 2023/24 was £2,611."
What was the net income (expenditure) in 2023/24?,Fine-Tune (RAFT),"£1,015",0.98,2.227,Y,"The net income (expenditure) in 2023/24 was -£1,015."
What were the net gains on investments in 2023/24?,Fine-Tune (RAFT),£950,0.98,2.459,Y,The net gains on investments in 2023/24 were £950.
What was the net movement in funds in 2023/24?,Fine-Tune (RAFT),"£20,246",0.98,1.792,N,The net movement in funds in 2023/24 was -£65.
